index,timestamp,sof,eof,exposure_time,offset,length
0000000000,53857575,53857674,53892697,99,0,9987992
0000000001,53907563,53907662,53942685,99,9987992,9987992
0000000002,53957551,53957650,53992673,99,19975984,9987992
0000000003,54007539,54007638,54042661,99,29963976,9987992
0000000004,54057527,54057626,54092649,99,39951968,9987992
0000000005,54107515,54107614,54142637,99,49939960,9987992
0000000006,54157502,54157601,54192624,99,59927952,9987992
0000000007,54207490,54207589,54242612,99,69915944,9987992
0000000008,54257478,54257577,54292600,99,79903936,9987992
0000000009,54307466,54307565,54342588,99,89891928,9987992
0000000010,54357454,54357553,54392576,99,99879920,9987992
0000000011,54407442,54407541,54442564,99,109867912,9987992
0000000012,54457430,54457529,54492552,99,119855904,9987992
0000000013,54507417,54507516,54542539,99,129843896,9987992
0000000014,54557405,54557504,54592527,99,139831888,9987992
0000000015,54607393,54607492,54642515,99,149819880,9987992
0000000016,54657381,54657480,54692503,99,159807872,9987992
0000000017,54707369,54707468,54742491,99,169795864,9987992
0000000018,54757357,54757456,54792479,99,179783856,9987992
0000000019,54807345,54807444,54842467,99,189771848,9987992
0000000020,54857332,54857431,54892454,99,199759840,9987992
0000000021,54907320,54907419,54942442,99,209747832,9987992
0000000022,54957308,54957407,54992430,99,219735824,9987992
0000000023,55007296,55007395,55042418,99,229723816,9987992
0000000024,55057284,55057383,55092406,99,239711808,9987992
0000000025,55107272,55107371,55142394,99,249699800,9987992
0000000026,55157260,55157359,55192382,99,259687792,9987992
0000000027,55207247,55207346,55242369,99,269675784,9987992
0000000028,55257235,55257334,55292357,99,279663776,9987992
0000000029,55307223,55307322,55342345,99,289651768,9987992
0000000030,55357211,55357310,55392333,99,299639760,9987992
0000000031,55407199,55407298,55442321,99,309627752,9987992
0000000032,55457187,55457286,55492309,99,319615744,9987992
0000000033,55507175,55507274,55542297,99,329603736,9987992
0000000034,55557163,55557262,55592285,99,339591728,9987992
0000000035,55607150,55607249,55642272,99,349579720,9987992
0000000036,55657138,55657237,55692260,99,359567712,9987992
0000000037,55707126,55707225,55742248,99,369555704,9987992
0000000038,55757114,55757213,55792236,99,379543696,9987992
0000000039,55807102,55807201,55842224,99,389531688,9987992
0000000040,55857090,55857189,55892212,99,399519680,9987992
0000000041,55907078,55907177,55942200,99,409507672,9987992
0000000042,55957065,55957164,55992187,99,419495664,9987992
0000000043,56007053,56007152,56042175,99,429483656,9987992
0000000044,56057041,56057140,56092163,99,439471648,9987992
0000000045,56107029,56107128,56142151,99,449459640,9987992
0000000046,56157017,56157116,56192139,99,459447632,9987992
0000000047,56207005,56207104,56242127,99,469435624,9987992
0000000048,56256993,56257092,56292115,99,479423616,9987992
0000000049,56306980,56307079,56342102,99,489411608,9987992
0000000050,56356968,56357067,56392090,99,499399600,9987992
0000000051,56406956,56407055,56442078,99,509387592,9987992
0000000052,56456944,56457043,56492066,99,519375584,9987992
0000000053,56506932,56507031,56542054,99,529363576,9987992
0000000054,56556920,56557019,56592042,99,539351568,9987992
0000000055,56606908,56607007,56642030,99,549339560,9987992
0000000056,56656896,56656995,56692018,99,559327552,9987992
0000000057,56706883,56706982,56742005,99,569315544,9987992
0000000058,56756871,56756970,56791993,99,579303536,9987992
0000000059,56806859,56806958,56841981,99,589291528,9987992
0000000060,56856847,56856946,56891969,99,599279520,9987992
0000000061,56906835,56906934,56941957,99,609267512,9987992
0000000062,56956823,56956922,56991945,99,619255504,9987992
0000000063,57006811,57006910,57041933,99,629243496,9987992
0000000064,57056798,57056897,57091920,99,639231488,9987992
0000000065,57106786,57106885,57141908,99,649219480,9987992
0000000066,57156774,57156873,57191896,99,659207472,9987992
0000000067,57206762,57206861,57241884,99,669195464,9987992
0000000068,57256750,57256849,57291872,99,679183456,9987992
0000000069,57306738,57306837,57341860,99,689171448,9987992
0000000070,57356726,57356825,57391848,99,699159440,9987992
0000000071,57406713,57406812,57441835,99,709147432,9987992
0000000072,57456701,57456800,57491823,99,719135424,9987992
0000000073,57506689,57506788,57541811,99,729123416,9987992
0000000074,57556677,57556776,57591799,99,739111408,9987992
0000000075,57606665,57606764,57641787,99,749099400,9987992
0000000076,57656653,57656752,57691775,99,759087392,9987992
0000000077,57706641,57706740,57741763,99,769075384,9987992
0000000078,57756628,57756727,57791750,99,779063376,9987992
0000000079,57806616,57806715,57841738,99,789051368,9987992
0000000080,57856604,57856703,57891726,99,799039360,9987992
0000000081,57906592,57906691,57941714,99,809027352,9987992
0000000082,57956580,57956679,57991702,99,819015344,9987992
0000000083,58006568,58006667,58041690,99,829003336,9987992
0000000084,58056556,58056655,58091678,99,838991328,9987992
0000000085,58106544,58106643,58141666,99,848979320,9987992
0000000086,58156531,58156630,58191653,99,858967312,9987992
0000000087,58206519,58206618,58241641,99,868955304,9987992
0000000088,58256507,58256606,58291629,99,878943296,9987992
0000000089,58306495,58306594,58341617,99,888931288,9987992
0000000090,58356483,58356582,58391605,99,898919280,9987992
0000000091,58406471,58406570,58441593,99,908907272,9987992
0000000092,58456459,58456558,58491581,99,918895264,9987992
0000000093,58506446,58506545,58541568,99,928883256,9987992
0000000094,58556434,58556533,58591556,99,938871248,9987992
0000000095,58606422,58606521,58641544,99,948859240,9987992
0000000096,58656410,58656509,58691532,99,958847232,9987992
0000000097,58706398,58706497,58741520,99,968835224,9987992
0000000098,58756386,58756485,58791508,99,978823216,9987992
0000000099,58806374,58806473,58841496,99,988811208,9987992
0000000100,58856361,58856460,58891483,99,998799200,9987992
0000000101,58906349,58906448,58941471,99,1008787192,9987992
0000000102,58956337,58956436,58991459,99,1018775184,9987992
0000000103,59006325,59006424,59041447,99,1028763176,9987992
0000000104,59056313,59056412,59091435,99,1038751168,9987992
0000000105,59106301,59106400,59141423,99,1048739160,9987992
0000000106,59156289,59156388,59191411,99,1058727152,9987992
0000000107,59206276,59206375,59241398,99,1068715144,9987992
0000000108,59256264,59256363,59291386,99,1078703136,9987992
0000000109,59306252,59306351,59341374,99,1088691128,9987992
0000000110,59356240,59356339,59391362,99,1098679120,9987992
0000000111,59406228,59406327,59441350,99,1108667112,9987992
0000000112,59456216,59456315,59491338,99,1118655104,9987992
0000000113,59506204,59506303,59541326,99,1128643096,9987992
0000000114,59556192,59556291,59591314,99,1138631088,9987992
0000000115,59606179,59606278,59641301,99,1148619080,9987992
0000000116,59656167,59656266,59691289,99,1158607072,9987992
0000000117,59706155,59706254,59741277,99,1168595064,9987992
0000000118,59756143,59756242,59791265,99,1178583056,9987992
0000000119,59806131,59806230,59841253,99,1188571048,9987992
0000000120,59856119,59856218,59891241,99,1198559040,9987992
0000000121,59906107,59906206,59941229,99,1208547032,9987992
0000000122,59956094,59956193,59991216,99,1218535024,9987992
0000000123,60006082,60006181,60041204,99,1228523016,9987992
0000000124,60056070,60056169,60091192,99,1238511008,9987992
0000000125,60106058,60106157,60141180,99,1248499000,9987992
0000000126,60156046,60156145,60191168,99,1258486992,9987992
0000000127,60206034,60206133,60241156,99,1268474984,9987992
0000000128,60256022,60256121,60291144,99,1278462976,9987992
0000000129,60306009,60306108,60341131,99,1288450968,9987992
0000000130,60355997,60356096,60391119,99,1298438960,9987992
